core_count,load_imbalance_old,load_imbalance_new
1,0,0
2,0.00880519,0.009694039
3,0.061538462,0.071646473
4,0.139863115,0.359809864
5,0.003643831,0.003990829
6,0.143198462,0.003251504
7,0.820606164,0.21841654
8,0.072855881,0.127952025
9,44.92597535,0.79324162
10,40.52508351,0.575549666
11,39.91512341,1.634915996
12,34.26850288,0.967858424
13,39.95296175,1.149276232
14,41.89551094,1.244976598
15,44.99854227,1.150875599
16,46.18956091,1.151858871
17,46.95928147,1.144181891
18,48.22668153,2.248136436
19,49.49381382,1.104876796
20,50.92970152,1.473223056
21,46.47200235,2.578530863
22,44.58096123,1.78248901
23,41.88691712,2.528094624
24,40.02930099,1.923592325
25,40.74718453,1.7039198
26,42.92881586,1.984349729
27,45.10408622,2.005781749
28,45.35713017,2.815666978
29,46.04880315,1.662898167
30,47.33093031,1.487896978
31,47.75902595,1.969735965
32,47.37829489,1.747266178
33,45.66410447,1.39781391
34,45.42571719,1.05330736
35,42.34231227,1.964669849
36,40.55354853,2.538457799
37,41.6552327,1.492235752
38,42.52876152,1.521531414
39,43.96229131,1.69770868
40,43.40864772,2.319789147
41,44.04048851,2.073489043
42,45.7566243,2.170952838
43,45.92316867,2.901858762
44,47.89612751,2.034013999
45,45.64231244,2.729362518
46,42.78531947,2.806252967
47,42.71100585,1.745578806
48,41.1342765,1.666945172
49,42.57179203,1.419630374
50,42.14961828,2.080540684
51,41.87550217,2.140982514
52,44.03157829,1.76054498
53,44.8497414,2.080050069
54,45.33102641,2.924667166
55,45.65175095,2.398627673
56,44.713151,2.268814085
57,45.34534711,1.286335441
58,43.50133459,2.189847533
59,40.94250305,3.544547857
60,41.18322808,2.645503885
61,45.8089981,3.1208425
62,44.80161141,1.921072487
63,43.14322077,2.073212449
64,41.95449406,1.715883747
65,43.10016506,1.633496309
66,40.23550041,1.798070913
67,42.01254245,4.571395115
68,39.45232986,1.935125028
69,39.08950769,1.935793234
70,40.55299419,2.671076382
71,38.08026589,2.728521781
72,36.55365226,2.649090345
73,39.66324212,2.351338653
74,36.99432714,2.664065062
75,42.57464414,3.111208695
76,35.53138777,2.729982345
77,36.00610733,2.017541929
78,34.39929252,2.414892194
79,33.72492128,3.375583074
80,33.44273651,3.116820458
