core_count,load_imbalance_old,load_imbalance_new
1,0,0
2,0.007593897,0.007827898
3,0.040224129,0.116568994
4,0.154771659,0.004214213
5,0.417540349,0.138057558
6,1.007507523,0.16969658
7,0.892915431,0.221371919
8,0.002223972,0.002217206
9,43.42046949,0.561577361
10,38.84743702,0.554094442
11,37.84407966,0.840948065
12,32.92187142,0.661508565
13,36.30560134,0.451900981
14,39.09361556,1.221396897
15,40.57114811,1.213402269
16,44.87291769,1.3469504
17,44.12846722,0.441169698
18,46.03105305,0.674628646
19,46.44738767,2.878018336
20,49.44958343,0.657557767
21,45.61382268,1.556170413
22,41.53002154,0.951119423
23,39.94949457,0.914358454
24,38.65133747,1.825813408
25,39.11098398,1.332959235
26,41.08899709,1.231385483
27,42.75956709,1.176813491
28,44.02646029,1.245773811
29,44.72840648,1.116443004
30,44.07790174,1.807202391
31,46.0122216,1.632300892
32,45.97191759,2.183273892
33,43.25303932,1.776154892
34,43.47229573,1.649358535
35,40.53823643,1.602774549
36,37.68984464,1.354197912
37,39.17589327,1.455301295
38,40.83156845,1.210106076
39,41.13136868,1.838901434
40,41.67256899,1.135937364
41,44.57054111,1.105585705
42,44.8848869,1.452079092
43,44.52721424,3.617391558
44,43.93219916,1.625265484
45,43.02331876,3.314804128
46,44.11314288,1.728953391
47,39.58211132,1.319181793
48,38.70069089,1.384488012
49,41.23631582,3.936917106
50,41.51232815,1.324063813
51,50.10138472,1.363777967
52,42.23083938,1.437879979
53,43.61190475,1.247998391
54,43.81201635,2.435861252
55,43.37238875,1.527790264
56,43.48132726,1.59420099
57,43.62043522,2.199914136
58,39.76591532,2.067722793
59,44.78695803,2.0221689
60,39.96903635,2.615070342
61,52.26625156,1.495156638
62,50.42046951,1.502631102
63,51.75822178,1.573141165
64,50.94992782,1.506819308
65,51.34459395,1.508789908
66,49.89958133,1.088826677
67,47.26396889,1.530377718
68,46.99588513,1.976617061
69,46.01435793,1.736247406
70,47.70631865,1.571643931
71,49.53337247,1.305978254
72,45.98613877,1.107162584
73,42.87627341,1.339980105
74,45.06309715,1.375737222
75,44.878438,1.202999673
76,41.3584741,1.510554969
77,38.34118085,1.548235715
78,39.87043748,1.820751852
79,39.33771696,1.80699513
80,40.94749747,1.843191273
