core_count,load_imbalance_old,load_imbalance_new
1,0,0
2,0.00820597,0.009152037
3,0.037530565,0.006324511
4,0.825369676,0.00475667
5,0.171351512,0.310037295
6,0.201999798,0.003191091
7,0.325377513,0.154673532
8,0.401648323,0.431107712
9,46.89495547,0.722990821
10,41.12252975,0.380029523
11,39.42968305,1.0621559
12,35.99664805,0.995890598
13,38.69389744,1.113632539
14,41.62520888,0.914416301
15,43.18308197,0.178662742
16,46.5447538,1.224119792
17,49.20391456,1.060515932
18,48.3596529,0.740450103
19,50.17813608,0.941766466
20,49.63117519,0.690586359
21,48.80817876,1.583374589
22,44.83114892,1.986305248
23,41.6498585,1.194641249
24,39.6098339,1.213503369
25,41.80732822,0.860317719
26,42.95571698,2.03248434
27,43.90164321,1.211187292
28,46.00373112,0.9785232
29,43.98679845,2.502910037
30,46.59393826,5.784299285
31,47.72752017,1.561746636
32,48.11608646,1.26142874
33,45.89806679,2.047009461
34,45.2574152,2.069295751
35,42.68460186,1.594212923
36,40.89642689,1.567152751
37,37.97364769,1.670529656
38,42.23260431,0.839389524
39,44.06044536,1.363116735
40,44.850226,1.659277439
41,44.664498,2.460361648
42,45.31617959,1.297781823
43,45.94931281,2.184966994
44,41.60475136,1.405293035
45,45.42366161,1.557721684
46,44.13719259,1.816337859
47,43.6580558,2.65512825
48,41.78142942,1.624230567
49,42.07437795,1.756275993
50,42.20844649,1.837454
51,43.68995157,1.052763182
52,44.34702451,1.273288366
53,45.09294177,2.148141294
54,45.66072134,1.544934059
55,46.53493255,2.015876807
56,46.06642949,2.501797715
57,46.39765455,1.163621678
58,43.97164862,1.586570922
59,43.34580914,1.502035913
60,42.28710639,1.282354128
61,46.26160629,1.879362213
62,46.09688538,1.268517839
63,45.41262763,1.385780994
64,49.19059983,5.757616632
65,45.37071555,1.854422568
66,43.46666902,2.001408135
67,43.38173928,1.747982207
68,42.68538314,1.781355111
69,42.56947959,2.30477753
70,41.16583403,1.99944758
71,41.83358175,1.569920476
72,39.60612454,1.140632927
73,40.76945293,1.444748021
74,39.51548204,1.118791473
75,39.17031539,1.08422276
76,38.31431514,2.013194989
77,36.56320424,1.932282692
78,36.79196109,1.484654278
79,35.3365908,1.998606892
80,35.67468149,0.984720618
