core_count,load_imbalance_old,load_imbalance_new
1,0,0
2,0.00575923,0.005989828
3,0.125510596,0.063101132
4,0.155627783,0.034406539
5,0.002473546,0.002466939
6,0.686787903,0.173495194
7,0.32978362,0.100064792
8,0.827897725,0.001664586
9,43.84415346,0.418897351
10,39.39818936,0.127575942
11,38.00072728,0.193727947
12,33.20676076,0.121038425
13,36.43739267,0.333306013
14,39.02418024,0.60640483
15,41.63928015,0.390426013
16,43.49891994,0.531957318
17,44.53988835,0.511819383
18,46.18732165,0.727989961
19,46.7571563,0.648566434
20,47.60974648,0.595005905
21,44.89134363,0.073249156
22,42.72368725,0.887152625
23,41.19313767,0.281755084
24,37.24238711,1.485804817
25,38.49947654,0.276942674
26,39.98806282,0.902194547
27,41.51109092,0.966983617
28,42.21933738,0.919804872
29,44.56488616,0.416082965
30,43.84764489,0.486044741
31,44.72497283,0.270578753
32,45.82825447,0.063268044
33,47.68122038,0.893828567
34,41.66423911,0.570593547
35,41.46589229,0.088698515
36,38.48690392,0.986857595
37,40.23684326,0.65977232
38,39.86446058,0.214601785
39,40.93592377,0.675534782
40,41.78128413,1.241308298
41,42.82407794,1.246927079
42,43.95018327,1.232872419
43,44.39714003,0.693466372
44,44.29458409,0.81546099
45,43.1536736,0.824536966
46,41.61136464,0.397145852
47,40.0973914,0.648247642
48,39.0122167,0.56718346
49,40.56158177,1.015996309
50,40.91532464,1.284584554
51,41.46573447,1.110525806
52,41.17278761,1.138108861
53,39.69773556,0.651655296
54,42.45408262,0.852885102
55,43.23107273,1.841725975
56,43.43062756,0.683255722
57,42.97402137,0.690545559
58,41.78183973,1.096655539
59,40.79905211,0.587087586
60,40.92066119,0.832198631
61,42.19265676,1.281811662
62,41.95816577,0.918686697
63,41.350761,0.625318971
64,40.71400332,0.450699728
65,39.6622338,0.583397669
66,38.7081907,0.992378151
67,39.38634262,0.770242391
68,37.44261262,1.871157072
69,36.80371786,0.923494262
70,39.68386048,0.476451349
71,36.94848177,0.93450372
72,34.9772979,0.912785859
73,35.52939878,1.28989058
74,35.14130873,0.756747396
75,34.49120437,1.287024315
76,33.96291181,0.822278303
77,32.33859905,1.238171134
78,33.15927223,0.458094445
79,32.4343597,0.54807712
80,32.03644638,1.08300306
