core_count,execution_time,speedup,efficiency
1,8285.33,1,100
2,4214.23,1.9660365,98.30182501
3,2843.55,2.913727559,97.12425196
4,2145.18,3.862300599,96.55751499
5,1758.52,4.711535837,94.23071674
6,1475.25,5.616220979,93.60368299
7,1280.53,6.470234981,92.4319283
8,1124.14,7.370372018,92.12965022
9,1633.17,5.073158336,56.36842596
10,1501.74,5.517153435,55.17153435
11,1429,5.797991603,52.70901457
12,1306.19,6.343127723,52.85939769
13,1508.41,5.492757274,42.25197903
14,1411.14,5.871373499,41.93838214
15,1316.34,6.294217299,41.96144866
16,1258.52,6.583391603,41.14619752
17,1156.59,7.16358433,42.13873135
18,1095.64,7.562091563,42.01161979
19,1037.44,7.986322101,42.03327421
20,991.825,8.35362085,41.76810425
21,935.821,8.853541436,42.15972112
22,888.849,9.321414548,42.37006613
23,859.606,9.638520438,41.9066106
24,828.153,10.00458852,41.68578552
25,791.925,10.462266,41.84906399
26,763.239,10.85548563,41.75186782
27,739.66,11.20153854,41.4871798
28,716.532,11.56309837,41.29677989
29,689.075,12.02384356,41.46152951
30,656.226,12.6257265,42.08575501
31,643.831,12.86879631,41.51224618
32,615.542,13.4602188,42.06318375
33,592.498,13.98372653,42.37492887
34,585.363,14.15417442,41.62992476
35,563.504,14.70323192,42.00923406
36,546.73,15.15433578,42.09537716
37,531.701,15.58268651,42.11536895
38,520.061,15.93145804,41.92488958
39,509.332,16.26705175,41.71038909
40,494.059,16.76992019,41.92480048
41,488.893,16.9471234,41.33444732
42,475.707,17.41687635,41.46875323
43,461.706,17.94503429,41.73263787
44,449.963,18.41335843,41.84854189
45,436.799,18.96828976,42.15175503
46,435.989,19.00352991,41.31202153
47,421.449,19.65915212,41.82798322
48,412.608,20.08039107,41.83414807
49,406.171,20.39862521,41.62984737
50,396.698,20.88573676,41.77147351
51,388.993,21.29943212,41.7635924
52,383.239,21.61922456,41.57543184
53,376.189,22.02438136,41.55543653
54,368.456,22.48661984,41.64188859
55,359.017,23.07782083,41.95967423
56,354.17,23.39365277,41.77437994
57,348.657,23.76355559,41.6904484
58,341.232,24.28063605,41.8631656
59,336.252,24.64024006,41.76311874
60,329.901,25.11459498,41.85765831
61,355.54,23.30351015,38.20247566
62,350.142,23.6627711,38.16575985
63,349.549,23.70291433,37.62367353
64,345.462,23.98333246,37.47395698
65,343.459,24.12319957,37.11261472
66,337.191,24.57162261,37.22973123
67,329.09,25.17648668,37.57684578
68,328.143,25.24914443,37.13109475
69,323.01,25.65038234,37.17446716
70,326.419,25.38249918,36.26071312
71,325.391,25.4626895,35.86294296
72,313.616,26.4187095,36.69265209
73,305.331,27.13556763,37.17201045
74,308.353,26.86962669,36.31030634
75,305.043,27.16118711,36.21491615
76,295.891,28.00129102,36.84380397
77,287.351,28.8334824,37.44608103
78,287.041,28.86462213,37.0059258
79,283.831,29.19106792,36.95071889
80,283.467,29.22855218,36.53569022
