core_count,execution_time,speedup,efficiency
1,8274.3,1,100
2,4279.9,1.933292834,96.6646417
3,2822.79,2.931248871,97.70829569
4,2135.72,3.874243815,96.85609537
5,1729.2,4.785045108,95.70090215
6,1453.09,5.694279088,94.90465147
7,1269.58,6.517352195,93.10503136
8,1127.57,7.338169692,91.72712115
9,1039.6,7.959118892,88.43465435
10,973.92,8.495872351,84.95872351
11,925.677,8.938647066,81.26042787
12,877.372,9.430777367,78.58981139
13,990.906,8.350237056,64.23259274
14,911.987,9.072826696,64.80590497
15,842.398,9.822316767,65.48211178
16,787.109,10.51226704,65.70166902
17,728.665,11.35542396,66.79661153
18,684.185,12.09365888,67.18699377
19,665.941,12.42497458,65.39460308
20,612.855,13.50123602,67.50618009
21,600.398,13.78135837,65.62551603
22,579.559,14.27688984,64.89495383
23,565.896,14.62159125,63.57213585
24,554.004,14.93545173,62.23104887
25,522.964,15.82193038,63.28772153
26,497.474,16.63262804,63.9716463
27,474.924,17.42236653,64.52728343
28,457.05,18.10370857,64.65610202
29,439.256,18.83707906,64.95544504
30,426.211,19.41362377,64.71207923
31,411.359,20.11454715,64.88563596
32,399.488,20.71226169,64.7258178
33,389.936,21.21963604,64.3019274
34,380.911,21.7223971,63.88940322
35,375.361,22.04357938,62.98165537
36,367.085,22.540556,62.61265556
37,355.59,23.26921454,62.88976904
38,344.093,24.04669668,63.28078073
39,335.677,24.64958874,63.2040737
40,322.925,25.62297747,64.05744368
41,313.878,26.36151626,64.29638112
42,306.958,26.95580503,64.18048816
43,307.236,26.93141429,62.63119602
44,292.38,28.29981531,64.31776207
45,293.092,28.23106738,62.73570528
46,283.563,29.179759,63.43425869
47,279.884,29.56331909,62.90067891
48,276.828,29.88967879,62.27016415
49,276.197,29.95796479,61.13870364
50,261.63,31.62596033,63.25192065
51,255.389,32.39881123,63.52708083
52,250.368,33.04855253,63.55490871
53,244.983,33.77499663,63.72640874
54,242.838,34.07333284,63.09876452
55,235.716,35.10283562,63.82333748
56,231.394,35.75848985,63.85444616
57,229.363,36.07512982,63.28970143
58,227.021,36.44728902,62.84015348
59,224.344,36.88219877,62.5122013
60,223.738,36.98209513,61.63682522
61,218.621,37.84769075,62.04539468
62,216.491,38.22006458,61.64526544
63,214.168,38.63462329,61.32479887
64,211.927,39.04316109,61.0049392
65,210.551,39.29831727,60.45894965
66,208.924,39.60435374,60.00659657
67,206.106,40.14584728,59.91917505
68,205.454,40.27324851,59.22536546
69,203.176,40.72479033,59.02143526
70,200.33,41.30334947,59.00478496
71,198.397,41.70577176,58.74052361
72,197.129,41.97403731,58.29727404
73,195.144,42.40099619,58.08355642
74,193.618,42.73517958,57.75024268
75,191.38,43.23492528,57.64656704
76,190.647,43.40115501,57.10678291
77,188.928,43.79604929,56.87798609
78,187.398,44.15361957,56.60720458
79,185.592,44.58327945,56.43453095
80,184.285,44.89947635,56.12434544
